station_id,station_code,station_name,sample_date,depth1,depth2,ALK_mmol/l,Ca_mg/l,Cl_mg/l,K_mg/l,Mg_mg/l,NH4-N_µg/l N,NO3-N_µg/l N,Na_mg/l,SO4_mg/l,TOC_mg C/l,pH_
108,LAE01,"Langtjern, utlÃ¸p",1973-06-01 09:00:00,0.0,0.0,0.0,1.36,0.6,0.16,0.23,55.0,25.0,,,,5.6
108,LAE01,"Langtjern, utlÃ¸p",1973-06-02 14:30:00,0.0,0.0,0.0,1.27,0.6,0.16,0.24,10.0,10.0,,,,4.86
108,LAE01,"Langtjern, utlÃ¸p",1973-06-03 09:00:00,0.0,0.0,0.0,1.26,0.6,0.16,0.23,5.0,10.0,,,,4.83
108,LAE01,"Langtjern, utlÃ¸p",1973-06-04 09:00:00,0.0,0.0,0.0,1.27,0.6,,0.23,10.0,10.0,,,,5.17
108,LAE01,"Langtjern, utlÃ¸p",1973-06-05 09:00:00,0.0,0.0,0.0,1.28,0.6,,0.23,5.0,10.0,,,,5.01
108,LAE01,"Langtjern, utlÃ¸p",1973-06-06 09:00:00,0.0,0.0,0.0,1.34,0.6,,0.23,5.0,10.0,,,,4.98
108,LAE01,"Langtjern, utlÃ¸p",1973-06-07 09:00:00,0.0,0.0,0.0,1.31,0.6,,0.24,15.0,10.0,,,,5.02
108,LAE01,"Langtjern, utlÃ¸p",1973-06-08 09:00:00,0.0,0.0,0.0,1.31,0.6,,0.23,30.0,10.0,,,,5.07
108,LAE01,"Langtjern, utlÃ¸p",1973-06-09 09:00:00,0.0,0.0,0.0,1.33,0.8,,0.24,15.0,10.0,,,,5.0
108,LAE01,"Langtjern, utlÃ¸p",1973-06-10 09:00:00,0.0,0.0,0.0,1.3,0.6,,0.24,10.0,10.0,,,,4.9
108,LAE01,"Langtjern, utlÃ¸p",1973-06-11 09:00:00,0.0,0.0,0.0,1.31,0.6,,0.24,5.0,10.0,,,,4.95
108,LAE01,"Langtjern, utlÃ¸p",1973-06-12 09:30:00,0.0,0.0,0.0,1.32,0.6,0.22,0.24,10.0,10.0,,,,5.3
108,LAE01,"Langtjern, utlÃ¸p",1973-06-13 09:30:00,0.0,0.0,0.0,1.3,0.6,0.16,0.24,15.0,10.0,,,,5.21
108,LAE01,"Langtjern, utlÃ¸p",1973-06-14 09:30:00,0.0,0.0,0.0,1.3,0.6,0.16,0.24,15.0,10.0,,,,5.14
108,LAE01,"Langtjern, utlÃ¸p",1973-06-15 09:30:00,0.0,0.0,0.0,1.35,0.6,0.17,0.24,25.0,10.0,,,,5.08
108,LAE01,"Langtjern, utlÃ¸p",1973-06-16 09:30:00,0.0,0.0,0.0,1.32,0.6,0.17,0.24,20.0,10.0,,,,5.08
108,LAE01,"Langtjern, utlÃ¸p",1973-06-17 09:30:00,0.0,0.0,0.0,1.32,0.6,0.13,0.24,5.0,10.0,,,,5.09
108,LAE01,"Langtjern, utlÃ¸p",1973-06-18 09:30:00,0.0,0.0,0.0,1.33,0.6,0.14,0.24,10.0,10.0,,,,5.13
108,LAE01,"Langtjern, utlÃ¸p",1973-06-19 09:30:00,0.0,0.0,0.0,1.3,0.6,0.14,0.24,15.0,10.0,,,,5.09
108,LAE01,"Langtjern, utlÃ¸p",1973-06-20 09:30:00,0.0,0.0,0.0,1.3,0.6,0.14,0.24,20.0,10.0,,,,5.13
108,LAE01,"Langtjern, utlÃ¸p",1973-06-21 09:30:00,0.0,0.0,0.0,1.32,0.6,0.15,0.24,25.0,10.0,,,,5.16
108,LAE01,"Langtjern, utlÃ¸p",1973-06-22 09:00:00,0.0,0.0,0.0,1.34,0.6,0.2,0.24,35.0,10.0,,,,5.36
108,LAE01,"Langtjern, utlÃ¸p",1973-06-23 09:00:00,0.0,0.0,0.0,1.36,0.6,0.21,0.24,30.0,10.0,,,,5.51
108,LAE01,"Langtjern, utlÃ¸p",1973-06-24 09:00:00,0.0,0.0,0.0,1.36,0.6,0.23,0.24,50.0,10.0,,,,5.4
108,LAE01,"Langtjern, utlÃ¸p",1973-06-25 09:00:00,0.0,0.0,0.0,1.37,0.6,0.2,0.24,85.0,10.0,,,,5.45
108,LAE01,"Langtjern, utlÃ¸p",1973-06-26 09:00:00,0.0,0.0,0.0,1.38,0.6,0.21,0.24,70.0,10.0,,,,5.52
108,LAE01,"Langtjern, utlÃ¸p",1973-06-27 09:00:00,0.0,0.0,0.0,1.44,0.6,0.24,0.25,70.0,10.0,,,,5.47
108,LAE01,"Langtjern, utlÃ¸p",1973-06-29 09:00:00,0.0,0.0,0.0,1.36,0.6,0.26,0.24,65.0,10.0,,,,5.47
108,LAE01,"Langtjern, utlÃ¸p",1973-06-30 09:00:00,0.0,0.0,0.0,1.37,0.6,0.2,0.24,30.0,10.0,,,,5.26
108,LAE01,"Langtjern, utlÃ¸p",1973-07-02 09:00:00,0.0,0.0,0.0,1.4,0.6,0.21,0.24,175.0,10.0,,,,5.4
108,LAE01,"Langtjern, utlÃ¸p",1973-07-04 09:00:00,0.0,0.0,0.0,1.47,0.6,0.25,0.24,60.0,10.0,,,,5.48
108,LAE01,"Langtjern, utlÃ¸p",1973-07-06 21:00:00,0.0,0.0,0.0,1.57,0.6,0.31,0.24,85.0,20.0,,,,5.63
108,LAE01,"Langtjern, utlÃ¸p",1973-07-08 09:00:00,0.0,0.0,0.0,1.96,0.8,0.49,0.25,150.0,20.0,,,,6.02
108,LAE01,"Langtjern, utlÃ¸p",1973-07-09 09:00:00,0.0,0.0,0.0,1.5,0.6,0.28,0.25,100.0,20.0,,,,5.54
108,LAE01,"Langtjern, utlÃ¸p",1973-07-10 09:00:00,0.0,0.0,0.0,1.43,0.6,0.22,0.25,65.0,10.0,,,,5.38
108,LAE01,"Langtjern, utlÃ¸p",1973-07-11 09:00:00,0.0,0.0,0.0,1.43,0.6,0.2,0.25,45.0,,,,,5.39
108,LAE01,"Langtjern, utlÃ¸p",1973-07-12 09:00:00,0.0,0.0,0.0,1.43,0.6,0.2,0.25,165.0,,,,,5.27
108,LAE01,"Langtjern, utlÃ¸p",1973-07-13 09:00:00,0.0,0.0,0.0,1.48,0.6,0.22,0.25,20.0,,,,,5.27
108,LAE01,"Langtjern, utlÃ¸p",1973-07-20 21:30:00,0.0,0.0,0.0,1.34,0.6,0.18,0.23,10.0,10.0,,,,5.21
